"id","bin","behav","prop","param"
"1_3",8,"1",0.142430242521439,"Turning Angle"
"1_3",1,"2",0.0988429665382529,"Turning Angle"
"1_3",2,"2",0.113128103255899,"Turning Angle"
"1_3",3,"2",0.107682909961344,"Turning Angle"
"1_3",4,"2",0.156125754533963,"Turning Angle"
"1_3",5,"2",0.146788224262767,"Turning Angle"
"1_3",6,"2",0.13466220356093,"Turning Angle"
"1_3",7,"2",0.11419625089323,"Turning Angle"
"1_3",8,"2",0.128573586993615,"Turning Angle"
"1_3",1,"3",0.000220878484719033,"Turning Angle"
"1_3",2,"3",0.0370696516419933,"Turning Angle"
"1_3",3,"3",0.154812904172777,"Turning Angle"
"1_3",4,"3",0.289491922632558,"Turning Angle"
"1_3",5,"3",0.318591133913334,"Turning Angle"
"1_3",6,"3",0.175877842562426,"Turning Angle"
"1_3",7,"3",0.0238186010684136,"Turning Angle"
"1_3",8,"3",0.000117065523778977,"Turning Angle"
"2_3",1,"1",0.132314049444319,"Step Length"
"2_3",2,"1",0.201848206234969,"Step Length"
"2_3",3,"1",0.473470604492424,"Step Length"
"2_3",4,"1",0.164140229752827,"Step Length"
"2_3",5,"1",0.0282269100754612,"Step Length"
"2_3",1,"2",0.490813249036929,"Step Length"
"2_3",2,"2",0.420571565240847,"Step Length"
"2_3",3,"2",0.0571522401642713,"Step Length"
"2_3",4,"2",0.00087701709576092,"Step Length"
"2_3",5,"2",0.0305859284621921,"Step Length"
"2_3",1,"3",0.00465799906544773,"Step Length"
"2_3",2,"3",0.00127393723173314,"Step Length"
"2_3",3,"3",0.0493852671553543,"Step Length"
"2_3",4,"3",0.48192302092907,"Step Length"
"2_3",5,"3",0.462759775618395,"Step Length"
"2_3",1,"1",0.136218866459075,"Turning Angle"
"2_3",2,"1",0.107410949935771,"Turning Angle"
"2_3",3,"1",0.128698162809018,"Turning Angle"
"2_3",4,"1",0.14958898635663,"Turning Angle"
"2_3",5,"1",0.130063144668368,"Turning Angle"
"2_3",6,"1",0.121748325242241,"Turning Angle"
"2_3",7,"1",0.108521882536109,"Turning Angle"
"2_3",8,"1",0.117749681992788,"Turning Angle"
"2_3",1,"2",0.2335076124782,"Turning Angle"
"2_3",2,"2",0.0988286691958341,"Turning Angle"
"2_3",3,"2",0.0858535019915751,"Turning Angle"
"2_3",4,"2",0.0755785663964118,"Turning Angle"
"2_3",5,"2",0.0824436072526071,"Turning Angle"
"2_3",6,"2",0.0857399443835494,"Turning Angle"
"2_3",7,"2",0.108804095847257,"Turning Angle"
"2_3",8,"2",0.229244002454566,"Turning Angle"
"2_3",1,"3",0.000255131625658508,"Turning Angle"
"2_3",2,"3",0.0447750085532863,"Turning Angle"
"2_3",3,"3",0.160566705188645,"Turning Angle"
"2_3",4,"3",0.298414753527285,"Turning Angle"
"2_3",5,"3",0.295543788606124,"Turning Angle"
"2_3",6,"3",0.16131446543647,"Turning Angle"
"2_3",7,"3",0.0389744216536615,"Turning Angle"
"2_3",8,"3",0.000155725408869407,"Turning Angle"
"3_3",1,"1",0.398654763869403,"Step Length"
"3_3",2,"1",0.359253124523909,"Step Length"
"3_3",3,"1",0.154341195069662,"Step Length"
"3_3",4,"1",0.0539051336318424,"Step Length"
"3_3",5,"1",0.0338457829051831,"Step Length"
"3_3",1,"2",0.0145541528107697,"Step Length"
"3_3",2,"2",0.108083060611484,"Step Length"
"3_3",3,"2",0.668025937831121,"Step Length"
"3_3",4,"2",0.206290167834335,"Step Length"
"3_3",5,"2",0.00304668091229097,"Step Length"
"3_3",1,"3",0.0205436165522468,"Step Length"
"3_3",2,"3",0.000341087022842485,"Step Length"
"3_3",3,"3",0.000708429010352838,"Step Length"
"3_3",4,"3",0.485466414169776,"Step Length"
"3_3",5,"3",0.492940453244782,"Step Length"
"3_3",1,"1",0.203192057311185,"Turning Angle"
"3_3",2,"1",0.104147637619179,"Turning Angle"
"3_3",3,"1",0.0982204882489682,"Turning Angle"
"3_3",4,"1",0.102655010774003,"Turning Angle"
"3_3",5,"1",0.099992426049021,"Turning Angle"
"3_3",6,"1",0.0938468966199706,"Turning Angle"
"3_3",7,"1",0.0937224281716795,"Turning Angle"
"3_3",8,"1",0.204223055205993,"Turning Angle"
"3_3",1,"2",0.0814137224426773,"Turning Angle"
"3_3",2,"2",0.133419581357297,"Turning Angle"
"3_3",3,"2",0.114382392868189,"Turning Angle"
"3_3",4,"2",0.159805950755439,"Turning Angle"
"3_3",5,"2",0.180077745590513,"Turning Angle"
"3_3",6,"2",0.150327832686403,"Turning Angle"
"3_3",7,"2",0.124665712345112,"Turning Angle"
"3_3",8,"2",0.0559070619543688,"Turning Angle"
"3_3",1,"3",0.00184029400055911,"Turning Angle"
"3_3",2,"3",0.0341889208572397,"Turning Angle"
"3_3",3,"3",0.179145815434031,"Turning Angle"
"3_3",4,"3",0.305360881379349,"Turning Angle"
"3_3",5,"3",0.306384083817286,"Turning Angle"
"3_3",6,"3",0.147938654776514,"Turning Angle"
"3_3",7,"3",0.0245819988227523,"Turning Angle"
"3_3",8,"3",0.000559350912268531,"Turning Angle"
"4_3",1,"1",0.396982173339956,"Step Length"
"4_3",2,"1",0.377147167378031,"Step Length"
"4_3",3,"1",0.15611037875411,"Step Length"
"4_3",4,"1",0.0420073926692388,"Step Length"
"4_3",5,"1",0.0277528878586639,"Step Length"
"4_3",1,"2",0.000547831404605819,"Step Length"
"4_3",2,"2",0.0191693247721181,"Step Length"
"4_3",3,"2",0.100946435548141,"Step Length"
"4_3",4,"2",0.449473460858542,"Step Length"
"4_3",5,"2",0.429862947416593,"Step Length"
"4_3",1,"3",0.000609867904138148,"Step Length"
"4_3",2,"3",0.0490762386445703,"Step Length"
"4_3",3,"3",0.775404590728035,"Step Length"
"4_3",4,"3",0.174320710125757,"Step Length"
"4_3",5,"3",0.000588592597499029,"Step Length"
"4_3",1,"1",0.210958109992074,"Turning Angle"
